(define (problem table_arrangement)
(:domain table_arrangement)
(:objects
screwdriver1 - screwdriver
screwdriver2 - screwdriver
fork1 - fork
fork2 - fork
fork3 - fork
fork4 - fork
knife1 - knife
knife2 - knife
knife3 - knife
knife4 - knife
spoon1 - spoon
spoon2 - spoon
spoon3 - spoon
plate1 - plate
plate2 - plate
plate3 - plate
plate4 - plate
bowl1 - bowl
bowl2 - bowl
bowl3 - bowl
bowl4 - bowl
fruit1 - fruit
fruit2 - fruit
fruit3 - fruit
fruit4 - fruit
mug1 - mug
mug2 - mug
mug3 - mug
mug4 - mug
cup1 - cup
cup2 - cup
cup3 - cup
cup4 - cup
basket1 - basket
basket2 - basket
basket3 - basket
basket4 - basket
glass1 - glass
glass2 - glass
glass3 - glass
glass4 - glass
wp1s wp2s wp3s wp4s wp5s wp6s wp7s wp8s wp9s wp10s wp11s wp12s wp13s wp14s wp15s wp16s wp17s wp18s wp19s wp20s wp21s wp22s wp23s wp24s wp25s wp26s wp27s wp28s wp29s wp30s wp31s wp32s wp33s wp34s wp35s wp36s wp37s wp38s wp39s wp40s - location
)
(:init
(at screwdriver1 wp1s)
(at fork1 wp2s)
(at fork2 wp3s)
(at knife1 wp4s)
(at fork3 wp5s)
(at fork4 wp6s)
(at spoon1 wp7s)
(at spoon2 wp8s)
(at knife2 wp9s)
(at knife3 wp10s)
(at spoon3 wp11s)
(at knife4 wp12s)
(at screwdriver2 wp13s)
(at fork1 wp14s)
(at fork2 wp15s)
(at knife1 wp16s)
(at fork3 wp17s)
(at fork4 wp18s)
(at spoon1 wp19s)
(at spoon2 wp20s)
(at knife2 wp21s)
(at knife3 wp22s)
(at spoon3 wp23s)
(at knife4 wp24s)
)
(:goal
(and
(at fork1 wp1s)
(at fork2 wp2s)
(at fork3 wp3s)
(at fork4 wp4s)
(at knife1 wp5s)
(at knife2 wp6s)
(at knife3 wp7s)
(at knife4 wp8s)
(at spoon1 wp9s)
(at spoon2 wp10s)
(at spoon3 wp11s)
(at plate1 wp12s)
(at plate2 wp13s)
(at plate3 wp14s)
(at plate4 wp15s)
(at bowl1 wp16s)
(at bowl2 wp17s)
(at bowl3 wp18s)
(at bowl4 wp19s)
(at fruit1 wp20s)
(at fruit2 wp21s)
(at fruit3 wp22s)
(at fruit4 wp23s)
(at mug1 wp24s)
(at mug2 wp25s)
(at mug3 wp26s)
(at mug4 wp27s)
(at cup1 wp28s)
(at cup2 wp29s)
(at cup3 wp30s)
(at cup4 wp31s)
(at basket1 wp32s)
(at basket2 wp33s)
(at basket3 wp34s)
(at basket4 wp35s)
(at glass1 wp36s)
(at glass2 wp37s)
(at glass3 wp38s)
(at glass4 wp39s)
(on fruit1 plate1)
(on fruit2 plate2)
(on fruit3 plate3)
(on fruit4 plate4)
(at screwdriver1 out_location)
(at screwdriver2 out_location)
)
)
)
